Sigla_Distribuidora,Estado,Grupo_Distribuidora,Grupo_Empresarial,Resumo temas,VlrPenalidade,NumAutoInfracao,Flag_Distribuidora,VlrMercado,DscTipoPenalidade,AnoLavratura,VlrMultaAposJuizo
Energisa MT,MT,Energisa,Energisa,Comercial,12790088.72,0002/2024-AGER/ MT-SFT,Distribuidora,1713620, Multa,2024,12790088.72
CEEE Equatorial,RS,Equatorial,Equatorial,Comercial,38555576.48,0002/2024-AGERGS-SFT,Distribuidora,1992072, Multa,2024,0.0
Equatorial GO,GO,Equatorial,Equatorial,Técnica,35457563.0,0002/2024-AGR-SFT,Distribuidora,3508696, Multa,2024,0.0
Enel CE,CE,Enel,Enel,Técnica,28550163.42,0002/2024-ARCE-SFT,Distribuidora,4032024, Multa,2024,0.0
,,,Não mapeado,1.01.02 - Procedimento da Fase Obras,38467.01,0002/2024-ARPB-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.02 - Procedimento Desempenho UTE Tipo I e II A,4968235.82,0002/2024-ARPE-SFT,Não Distribuidora,, Multa,2024,4968235.82
Equatorial AL,AL,Equatorial,Equatorial,Técnica,4240991.62,0002/2024-ARSAL-SFT,Distribuidora,1415379, Multa,2024,0.0
,,,Não mapeado,"Apoio ao Processo Decisório, Anuência e Conformidade Regulatória",25082.12,0002/2024-SFF,Não Distribuidora,, Multa,2024,0.0
Enel SP,SP,Enel,Enel,Técnica,165807883.49,0002/2024-SFT,Distribuidora,8751700, Multa,2024,165807883.49
CEEE Equatorial,RS,Equatorial,Equatorial,Comercial,12489760.1,0002/2025-AGERGS-SFT,Distribuidora,1992072, Advertência / Multa,2025,0.0
Sulgipe,SE,Sulgipe,Não mapeado,Comercial,832697.16,0002/2025-AGRESE-SFT,Distribuidora,174908, Advertência / Multa,2025,0.0
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,310477.94,0002/2025-AGR-SFT,Não Distribuidora,, Multa,2025,0.0
